Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
250010605000001;1;2;304733;304223;510;66;74;124;135;21;1;1;0;0;14;
250010605000002;1;0;177732;177732;0;10;17;40;47;19;7;4;1;0;3;
250010605000003;1;0;310317;310317;0;17;30;63;122;48;4;5;0;0;6;
250010605000004;8;0;141471;141471;0;66;30;50;51;13;0;0;0;0;7;
250010605000005;5;0;143194;143194;0;40;22;54;55;17;2;0;0;0;9;
250010605000006;8;0;77367;77367;0;44;27;30;32;1;0;0;0;0;23;
250010605000007;8;0;226480;226480;0;26;12;23;27;7;0;0;0;1;2;
250010605000008;8;0;99165;99165;0;44;23;22;21;6;0;1;0;0;14;
250010605000009;8;0;110360;110360;0;63;24;42;39;5;0;0;0;0;8;
250010605000010;8;0;100152;100152;0;37;15;30;42;7;0;0;0;0;13;
250010605000011;1;0;315894;315894;0;36;54;98;90;31;9;3;1;0;8;
250010605000012;5;0;38269;38269;0;9;11;11;15;3;0;0;0;0;0;
250010605000013;5;0;20352;20352;0;11;7;9;4;3;0;0;0;0;4;
250010605000014;8;1;98466;97796;670;35;20;35;33;4;0;0;0;0;12;
250020505000001;1;1;651860;650582;1278;30;30;65;118;48;11;6;2;2;2;
250020505000002;1;0;234448;234448;0;10;26;61;97;31;4;4;0;0;3;
250020505000003;8;0;74273;74273;0;27;16;23;24;10;1;0;0;0;0;
250020505000004;8;0;69418;69418;0;9;17;22;27;7;3;0;0;0;0;
250020505000005;8;0;13932;13932;0;16;6;5;5;1;0;0;0;0;2;
250020505000006;8;0;87650;87650;0;52;21;39;31;4;1;0;0;0;4;
250020505000007;8;0;74275;74275;0;40;14;27;39;4;0;0;0;0;1;
250020505000008;8;0;41287;41287;0;11;10;14;17;4;0;0;0;0;3;
250020505000009;8;0;162843;162843;0;62;28;51;58;16;1;2;0;1;10;
250020505000010;8;0;7132;7132;0;3;1;0;2;2;1;1;0;0;0;
250020505000011;1;0;274404;274404;0;32;39;101;96;37;4;1;1;0;3;
250030405000001;1;0;371836;371836;0;8;6;59;84;54;10;6;3;0;6;
250030405000002;1;0;311893;311893;0;32;49;91;130;30;6;3;0;0;4;
250030405000003;1;0;478645;478645;0;5;27;49;115;55;21;14;3;0;5;
250030405000004;1;0;157129;157129;0;4;14;31;59;16;2;2;1;0;5;
250030405000005;1;0;98152;98152;0;26;30;54;43;3;0;0;0;0;22;
250030405000006;1;0;143965;143965;0;8;15;49;63;13;1;1;0;0;5;
250030405000007;1;0;346208;346208;0;6;15;45;63;51;10;6;6;0;0;
250030405000008;1;0;316169;316169;0;10;32;72;77;31;9;3;2;1;4;
250030405000009;1;0;413807;413807;0;6;36;75;93;48;19;12;0;0;28;
250030405000010;1;0;334891;334891;0;21;58;96;143;32;4;2;2;0;2;
250030405000011;1;0;66749;66749;0;29;26;45;31;1;0;0;0;0;2;
250030405000012;1;0;125774;125774;0;20;51;59;43;8;1;1;0;0;4;
250030405000013;1;0;109005;109005;0;26;32;43;44;4;2;0;0;0;11;
250030405000014;1;0;30112;30112;0;21;17;19;10;0;0;0;0;0;4;
250030405000015;1;0;266307;266307;0;29;67;100;99;17;3;1;1;0;10;
250030405000016;8;1;186979;186789;190;66;63;81;58;9;1;1;0;0;11;
250030405000017;8;0;18122;18122;0;4;14;10;3;1;0;0;0;0;0;
250030405000018;5;0;249208;249208;0;42;66;119;120;8;1;1;0;0;17;
250030405000019;5;0;84213;84213;0;25;33;51;28;2;0;0;0;0;6;
250030405000020;8;0;47635;47635;0;31;19;18;19;2;0;0;0;0;13;
250030405000021;8;0;45019;45019;0;17;18;24;16;2;0;0;0;0;14;
250030405000022;8;0;25043;25043;0;18;11;12;9;1;0;0;0;0;10;
250030405000023;8;0;29237;29237;0;22;18;17;6;0;0;0;0;0;1;
250030405000024;8;0;3092;3092;0;0;1;3;1;0;0;0;0;0;1;
250030405000025;8;0;52914;52914;0;43;12;23;23;1;0;0;0;0;11;
250030405000026;8;0;5987;5987;0;0;2;2;4;0;0;0;0;0;0;
250030405000027;8;0;36414;36414;0;21;21;19;8;0;0;0;0;0;5;
250030405000028;8;0;119489;119489;0;17;25;43;57;7;0;0;0;0;40;
250030405000029;8;0;92328;92328;0;25;31;29;44;5;1;0;0;0;13;
250030405000030;5;0;163070;163070;0;72;46;81;69;9;1;0;0;0;17;
250030405000031;5;0;225585;225585;0;45;53;101;102;19;0;0;0;0;22;
250030405000032;8;0;55057;55057;0;26;16;25;23;3;0;0;0;0;10;
250030405000033;8;0;84037;84037;0;21;9;18;8;0;0;0;0;1;22;
250030405000034;8;1;41097;40987;110;32;22;19;9;0;0;0;0;0;13;
250030405000035;8;0;47710;47710;0;9;14;26;13;1;1;0;0;0;5;
250030405000036;8;0;103714;103714;0;44;62;41;29;5;0;0;0;0;16;
250030405000037;1;0;249618;249618;0;6;17;39;77;23;11;4;1;0;4;
250030405000038;1;0;141734;141734;0;20;41;70;62;5;1;0;0;0;6;
250030405000039;1;0;148405;148405;0;15;54;63;58;5;2;1;0;0;10;
250030405000040;1;0;284059;284059;0;32;59;121;83;29;4;4;0;0;10;
250030405000041;1;0;113246;113246;0;34;25;45;55;6;0;0;1;0;12;
250030405000042;1;0;195293;195293;0;34;53;74;55;8;2;0;0;1;5;
250030405000043;1;0;168687;168687;0;34;43;45;60;7;3;0;0;1;3;
250030405000044;1;0;141191;141191;0;47;59;77;47;1;0;0;0;0;20;
250040305000001;1;0;478093;478093;0;6;28;64;114;60;18;6;7;1;12;
250040305000002;1;0;293359;293359;0;24;47;100;111;28;4;2;1;0;13;
