Observatório do Plano Nacional de Educação

Produto Interno Bruto (PIB);
PIB;
Localidade;Código IBGE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;
Brasil;0;1199092070,9;1315755467,8;1488787255,2;1717950396,4;1957751213,0;2170584503,4;2409449922,1;2720262937,8;3109803089,1;3333039355,4;3885847000,0;4373658000,0;4805913000,0;5316455000,0;5687309000,0;5904331214,7;
Norte;1;51705786,0;59074119,0;69309957,0;81199581,0;96012341,0;106441710,0;119993429,0;133578391,0;154703433,0;163207956,0;201510748,0;223537900,0;231383089,0;;;;
Nordeste;2;146827013,0;163464865,0;191591603,0;217037426,0;247042512,0;280545055,0;311104054,0;347797041,0;397499827,0;437719730,0;507501607,0;555325328,0;595382228,0;;;;
Sudeste;3;687776987,0;751225511,0;837645868,0;947748381,0;1083974746,0;1213863408,0;1345513264,0;1501184922,0;1698588226,0;1792049385,0;2088221460,0;2295690429,0;2424005324,0;;;;
Sul;4;194257377,0;217471660,0;249625755,0;300858677,0;337657404,0;356211309,0;386588325,0;442819864,0;502039730,0;535662084,0;622254612,0;672048938,0;710859964,0;;;;
Centro-Oeste;5;98914837,0;110898874,0;129648586,0;153103630,0;176811355,0;190177811,0;206284475,0;235964307,0;279372274,0;310764898,0;350596446,0;396410742,0;430463391,0;;;;
Rondônia;11;5946138,0;6548807,0;7779880,0;9750818,0;11260424,0;12884047,0;13107441,0;15002734,0;17887799,0;20236194,0;23560644,0;27839144,0;29361936,0;;;;
Acre;12;2154284,0;2475168,0;2868451,0;3304771,0;3940315,0;4482920,0;4834620,0;5760501,0;6730108,0;7386436,0;8476515,0;8794362,0;9629239,0;;;;
Amazonas;13;16749755,0;18050363,0;21791162,0;24977170,0;30313735,0;33352137,0;39156902,0;42023218,0;46822569,0;49614251,0;59779292,0;64555404,0;64119836,0;;;;
Roraima;14;1776656,0;2033140,0;2312646,0;2737003,0;2811079,0;3179287,0;3660083,0;4168599,0;4889301,0;5593491,0;6340601,0;6951190,0;7313836,0;;;;
Pará;15;19050189,0;22321459,0;25659111,0;29754565,0;35562846,0;39121138,0;44369675,0;49507144,0;58518557,0;58401830,0;77847597,0;88370610,0;91009014,0;;;;
Amapá;16;2357036,0;2801923,0;3291534,0;3434107,0;3846126,0;4361255,0;5260017,0;6022132,0;6764834,0;7404389,0;8265965,0;8968032,0;10419539,0;;;;
Tocantins;17;3671728,0;4843260,0;5607173,0;7241147,0;8277816,0;9060926,0;9604690,0;11094063,0;13090266,0;14571366,0;17240135,0;18059159,0;19529689,0;;;;
Maranhão;21;11908912,0;13419648,0;15448774,0;18483300,0;21604577,0;25334591,0;28620246,0;31606026,0;38486010,0;39854677,0;45255942,0;52187204,0;58819683,0;;;;
Piauí;22;6062726,0;6472659,0;7425109,0;8777044,0;9816735,0;11129201,0;12788465,0;14135870,0;16760272,0;19032665,0;22060161,0;24606833,0;25720626,0;;;;
Ceará;23;22607131,0;24532733,0;28896188,0;32565454,0;36866273,0;40935248,0;46303058,0;50331383,0;60098877,0;65703761,0;77865415,0;87982450,0;90131724,0;;;;
Rio Grande do Norte;24;9119808,0;10343396,0;12197554,0;13515095,0;15580455,0;17869516,0;20554621,0;22925563,0;25481449,0;27904989,0;32338895,0;36103202,0;39543679,0;;;;
Paraíba;25;9337554,0;10848545,0;12433902,0;14157834,0;15022399,0;16868638,0;19951315,0;22201750,0;25696641,0;28718598,0;31947059,0;35443832,0;38731149,0;;;;
