Localidade,IBGE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Santo Antônio dos Milagres,2209450,1537,1763,2061,3381,3184,3504,3746,4513,4957,5767,7217,11069,8343
Miguel Leão,2206308,3750,3666,4342,5678,5490,5460,6151,6604,8491,8358,8768,9838,9179
São Félix do Tocantins,1720150,1775,2339,2818,3722,3965,5067,5368,6160,6837,8395,8990,9985,10411
São Miguel da Baixa Grande,2210383,2376,2672,2737,3206,3750,3803,4830,5742,6802,7709,9146,10236,10627
Aroeiras do Itaim,2200954,0,0,0,0,0,5206,5956,6670,8028,8615,9233,11083,10677
São Luis do Piauí,2210375,2643,2958,3078,4002,4178,4677,5813,6157,7173,8443,9438,11022,10684
Tamboril do Piauí,2210953,3112,3486,3920,5391,5121,5654,6808,7883,8778,9974,10765,11983,10941
Viçosa,2414902,2938,3318,4704,4939,4839,6515,7090,8393,8940,8849,9002,10456,10980
Olho d'Água do Piauí,2207108,3084,3555,3664,4832,5393,4716,5237,6185,9623,10288,11028,12208,11005
Anhanguera,5201207,3138,3333,3771,4344,4969,5439,5998,6709,7700,8200,10037,10438,11070
Areia de Baraúnas,2501153,2786,3471,3690,4222,4631,5309,6013,5596,7385,8862,9616,10642,11087
Quixabá,2512606,2465,3114,3086,3379,3729,4517,5046,6601,7793,8286,9166,10501,11130
Floresta do Piauí,2203859,2439,4083,3551,4490,4960,5537,5944,7202,8320,9287,10151,11967,11244
Coxixola,2504850,3321,3900,4096,4845,4942,5321,6711,7163,8822,9463,10390,10944,11331
Lagoinha do Piauí,2205540,2445,2775,3245,4289,4704,4902,5833,6549,9419,9005,9735,11233,11337
Pedro Laurentino,2207934,4231,4485,3516,4406,4720,5302,5864,6687,8069,9338,10631,11799,11855
Francisco Macedo,2204154,2678,2812,3018,4185,4647,5330,6372,6678,9525,9191,10779,12192,11883
Riacho de Santo Antônio,2512788,3270,3875,4147,4670,5375,5615,7823,7506,9228,9623,10809,11556,12064
Tanque do Piauí,2210979,2944,3106,3325,4158,5302,5151,5763,6730,8802,12192,10737,12844,12122
Zabelê,2517407,3438,4551,4269,5219,5496,6376,7394,7466,9180,9611,10374,11622,12136
Serra da Saudade,3166600,4061,4088,4761,5966,6533,7145,7788,8887,9913,10418,11202,11868,12176
São José do Brejo do Cruz,2514651,2910,3451,3872,4861,5217,5841,6624,7292,8428,8961,9941,11638,12193
Parari,2510659,3465,4167,4489,4784,5441,6168,7111,7063,8844,9530,9588,10484,12246
Amparo,2500734,3141,3750,4391,4988,5280,6709,7847,8245,9278,9392,10317,10931,12376
São Miguel do Fidalgo,2210391,4197,4583,4488,5741,5931,6853,7957,8475,10072,11467,11715,13426,12426
Cedro do Abaeté,3115607,3982,4177,4686,5133,5519,6671,7195,8137,9378,10231,11354,12191,12657
Prata do Piauí,2208601,3176,3445,3770,4873,5705,6023,6370,8101,9376,10733,11983,12753,12688
Rio da Conceição,1718659,2075,2984,3717,4782,6807,7265,8598,9101,12328,13020,13377,12487,12832
